"date","user_id","url_id","url"
2018-11-30 20:46:51,95,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-11-30 22:20:39,65,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-01 01:16:57,48,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-01 02:02:12,117,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-01 06:06:30,119,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-01 16:53:33,79,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-01 20:42:33,55,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-01 21:03:06,141,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-02 14:06:16,43,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-02 19:12:18,65,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-02 21:00:36,110,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-02 21:06:53,81,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-02 21:07:46,110,5,"https://www.unir.net/vive-unir/vida-academica/noticias/se-un-experto-en-lean-management-y-da-valor-a-tu-empresa-con-unir/549203655774/"
2018-12-03 01:25:10,104,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-03 06:49:13,57,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-03 09:05:07,15,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-03 09:53:51,25,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-03 09:57:41,21,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-03 11:55:45,4,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-03 13:46:07,31,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-03 23:07:09,73,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 01:24:00,75,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 04:44:45,59,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 09:17:53,72,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 10:05:30,23,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 10:05:31,23,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 10:15:59,53,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 10:34:13,4,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 11:30:32,56,5,"https://www.unir.net/vive-unir/vida-academica/noticias/se-un-experto-en-lean-management-y-da-valor-a-tu-empresa-con-unir/549203655774/"
2018-12-04 12:51:51,72,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 14:27:39,14,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 14:29:27,14,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 16:45:20,8,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-04 16:47:21,150,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 17:24:51,99,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 17:33:19,32,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 19:41:19,54,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 19:50:58,49,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 20:17:11,114,5,"https://www.unir.net/vive-unir/vida-academica/noticias/se-un-experto-en-lean-management-y-da-valor-a-tu-empresa-con-unir/549203655774/"
2018-12-04 20:52:44,45,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 22:01:34,106,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-04 23:56:05,136,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-05 00:53:59,60,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-05 08:35:22,146,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-05 09:58:34,143,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-05 13:24:28,4,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-05 13:49:29,83,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-05 15:55:54,152,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-05 17:57:45,10,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-05 18:27:21,12,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-05 22:32:21,109,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-05 23:41:31,61,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-06 00:13:53,103,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-06 00:13:59,103,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-06 17:24:12,87,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-06 18:36:37,49,5,"https://www.unir.net/vive-unir/vida-academica/noticias/se-un-experto-en-lean-management-y-da-valor-a-tu-empresa-con-unir/549203655774/"
2018-12-07 14:15:09,67,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-07 16:39:59,30,5,"https://www.unir.net/vive-unir/vida-academica/noticias/se-un-experto-en-lean-management-y-da-valor-a-tu-empresa-con-unir/549203655774/"
2018-12-08 01:27:56,7,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-08 05:54:40,148,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-08 09:33:11,111,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-08 12:39:38,139,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-08 15:58:33,138,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-08 18:43:47,28,5,"https://www.unir.net/vive-unir/vida-academica/noticias/se-un-experto-en-lean-management-y-da-valor-a-tu-empresa-con-unir/549203655774/"
2018-12-08 18:44:00,108,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-08 18:50:32,108,2,"https://www.unir.net/vive-unir/vida-academica/noticias/los-nuevos-graduados-se-suman-a-la-creciente-familia-colombiana-de-unir/549203660051/"
2018-12-08 18:51:33,108,1,"https://www.unir.net/vive-unir/vida-academica/noticias/fundacion-telefonica-y-unir-por-la-ciberseguridad-en-la-educacion/549203661758/"
2018-12-08 22:08:33,139,5,"https://www.unir.net/vive-unir/vida-academica/noticias/se-un-experto-en-lean-management-y-da-valor-a-tu-empresa-con-unir/549203655774/"
